Citation Number	Date Issued	Time Issued	Location	District	Cited Person Age	Cited Person Sex	Cited Person Race	Offense Code	Offense Description	Officer Age	Officer Sex	Officer Race
    C4225	11/12/2016	6:45:00 PM	7407 S STATE ROAD 446; B AND D CAUSEWAY CAMP	LMS01	M	W	16	9-21-8-41	TRAFFIC CONTROL DEVICE DIS	26	M	W
    C4199	11/3/2016	8:41:00 PM	S INDIANA AVE & E KIRKWOOD AVE	LB102	M	B	34	9-21-8-24	UNSAFE MOVEMENT, LANE TO LANE	26	M	W
    C4199	11/3/2016	8:41:00 PM	S INDIANA AVE & E KIRKWOOD AVE	LB102	M	B	34	9-21-8-25	TURNS, SIGNALING	26	M	W
    C4270	11/12/2016	11:12:00 AM	N KINSER PIKE & W BROOKDALE DR	LB512	M	U	21	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	57	M	W
    C4306	12/15/2016	9:15:00 AM	S WALNUT ST & E GRIMES LN	LB411	M	W	31	9-21-8-41	TRAFFIC CONTROL DEVICE DIS	51	F	W
    C4306	12/15/2016	9:15:00 AM	S WALNUT ST & E GRIMES LN	LB411	M	W	31	9-18-2-7	EXPIRED LICENSE PLATES	51	F	W
    C4163	10/30/2016	1:50:00 PM	S ROGERS ST & W KIRKWOOD AVE	LB101	M	W	48	9-24-11-8	DRIVERS LICENSE RESTRICTION	51	F	W
    C4164	10/30/2016	1:50:00 PM	S ROGERS ST & W KIRKWOOD AVE	LB101	M	W	48	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	51	F	W
    C4165	10/30/2016	1:50:00 PM	S ROGERS ST & W KIRKWOOD AVE	LB101	M	W	48	9-24-19-1	DRIVING WHILE SUSPENDED	51	F	W
    C4145	10/24/2016	11:37:00 AM	W SUSAN DR & N GATES DR	LB524	F	W	52	9-18-2-7	EXPIRED LICENSE PLATES	51	F	W
    C4310	12/16/2016	1:22:00 AM	E 10TH ST & N WASHINGTON ST	LB102	M	A	23	9-24-19-1	DRIVING WHILE SUSPENDED	22	M	L
    C4249	11/19/2016	4:27:00 AM	S WALNUT ST & E 4TH ST	LB103	F	U	61	9-21-8-41	TRAFFIC CONTROL DEVICE DIS	22	M	L
    C4224	11/13/2016	11:54:00 PM	N WALNUT ST & E 7TH ST	LB102	M	W	35	9-21-8-9	WRONG WAY ON ONE WAY	22	M	L
    C4140	10/18/2016	11:45:00 PM	321 E UNIVERSITY ST	LB301	M	W	23	14.09.030	NOISE VIOLATION	22	M	L
    C4075	10/14/2016	4:10:00 AM	S ROGERS ST & W KIRKWOOD AVE	LB101	F	B	22	9-21-3-7	DISREGARDING AUTOMATIC SIGNAL	22	M	L
    C4332	12/27/2016	4:51:00 PM	S WALNUT ST & E VERMILYA AVE	LB421	M	W	47	9-25-4-1	NO FINANCIAL RESPONSIBILITY	25	M	W
    C4195	11/2/2016	7:50:00 PM	W 10TH ST & N ROGERS ST	LB101	M	B	24	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	25	M	W
    C4194	11/1/2016	2:40:00 PM	W 10TH ST & N ROGERS ST	LB101	M	W	54	9-21-10-1	PASSENGER 1 PERSON	25	M	W
    C4280	12/2/2016	11:59:00 PM	N MAPLE ST & W 6TH ST	LB520	M	W	36	9-24-19-1	DRIVING WHILE SUSPENDED	56	M	W
    C4280	12/2/2016	11:59:00 PM	N MAPLE ST & W 6TH ST	LB520	M	W	36	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	56	M	W
    C4327	12/23/2016	12:12:00 AM	S WALNUT ST & E 2ND ST	LB410	M	W	50	9-21-3-7	DISREGARDING AUTOMATIC SIGNAL	31	M	W
    C4327	12/23/2016	12:12:00 AM	S WALNUT ST & E 2ND ST	LB410	M	W	50	9-24-19-1	DRIVING WHILE SUSPENDED	31	M	W
    C4327	12/23/2016	12:12:00 AM	S WALNUT ST & E 2ND ST	LB410	M	W	50	9-18-2-27	FALSE REGISTRATION	31	M	W
    C4301	12/13/2016	12:01:00 PM	1900 S WALNUT ST; HERALD-TIMES	LB421	M	W	34	9-24-19-1	DRIVING WHILE SUSPENDED	31	M	W
    C4301	12/13/2016	12:01:00 PM	1900 S WALNUT ST; HERALD-TIMES	LB421	M	W	34	9-21-5-2	SPEED MAXIMUM	31	M	W
    C4301	12/13/2016	12:01:00 PM	1900 S WALNUT ST; HERALD-TIMES	LB421	M	W	34	9-21-8-32	DISREGARDING STOP SIGN	31	M	W
    C4291	12/7/2016	10:45:00 PM	S COLLEGE MALL RD & E 3RD ST	LB305	M	U	19	9-24-7-4	LEARNERS PERMIT	31	M	W
    C4291	12/7/2016	10:45:00 PM	S COLLEGE MALL RD & E 3RD ST	LB305	M	U	19	9-21-3-7	DISREGARDING AUTOMATIC SIGNAL	31	M	W
    C4290	12/7/2016	10:22:00 PM	S WALNUT ST & E SOUTH DR	LB422	M	W	33	9-24-19-1	DRIVING WHILE SUSPENDED	31	M	W
    C4203	11/7/2016	3:35:00 AM	E 3RD ST & S PARK RIDGE RD	LB219	M	W	20	9-24-8-3	MOTORCYCLE LEARNERS PERMIT	31	M	W
    C4203	11/7/2016	3:35:00 AM	E 3RD ST & S PARK RIDGE RD	LB219	M	W	20	9-21-5-2	SPEED MAXIMUM	31	M	W
    C4203	11/7/2016	3:35:00 AM	E 3RD ST & S PARK RIDGE RD	LB219	M	W	20	9-21-8-5	PASS, SPEED UP, REFUSE GIVE WAY	31	M	W
    C4203	11/7/2016	3:35:00 AM	E 3RD ST & S PARK RIDGE RD	LB219	M	W	20	9-18-2-29	VEHICLES REQUIRING REGISTRATION	31	M	W
    C4203	11/7/2016	3:35:00 AM	E 3RD ST & S PARK RIDGE RD	LB219	M	W	20	9-21-8-32	DISREGARDING STOP SIGN	31	M	W
    C4177	10/29/2016	11:30:00 PM	713 W 17TH ST; HOOSIER LIQUORS	LB518	M	L	46	9-24-19-1	DRIVING WHILE SUSPENDED	31	M	W
    C4170	10/29/2016	12:10:00 AM	521 S PARK AVE	LB302	M	W	19	14.09.030	NOISE VIOLATION	31	M	W
    C4171	10/29/2016	12:10:00 AM	521 S PARK AVE	LB302	M	W	20	14.09.030	NOISE VIOLATION	31	M	W
    C4172	10/29/2016	12:10:00 AM	521 S PARK AVE	LB302	M	W	20	14.09.030	NOISE VIOLATION	31	M	W
    C3311	12/7/2016	11:03:00 AM	W 3RD ST & S JOHNSON AVE	LB404	F	W	29	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	39	M	W
    C4289	12/8/2016	11:19:00 AM	S COLLEGE MALL RD & E COVENANTER DR	LB310	F	W	49	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	50	M	W
    C4197	11/2/2016	7:25:00 AM	3100 S WALNUT STREET PIKE	LB336	F	W	35	9-21-5-2	SPEED MAXIMUM	50	M	W
    C4269	11/30/2016	12:18:00 AM	108 W 6TH ST; LOFT AT 106; KING DOUGH; APT B	LB101	M	W	19	14.09.030	NOISE VIOLATION	31	M	W
    C4151	10/28/2016	4:30:00 AM	713 W 12TH ST	LB518	M	B	32	9-24-19-1	DRIVING WHILE SUSPENDED	31	M	W
    C4159	10/28/2016	12:48:00 AM	315 E UNIVERSITY ST	LB301	M	W	19	14.09.030	NOISE VIOLATION	31	M	W
    C4093	10/14/2016	12:35:00 AM	632 N COLLEGE AVE	LB519	F	W	21	14.09.030	NOISE VIOLATION	31	M	W
    C4335	12/28/2016	6:20:00 PM	S COLLEGE MALL RD & E 3RD ST	LB305	M	A	25	9-18-2-7	EXPIRED LICENSE PLATES	24	M	W
    C4337	12/28/2016	4:45:00 PM	E 10TH ST & N FEE LN	LIU13	F	U	35	9-21-8-41	TRAFFIC CONTROL DEVICE DIS	24	M	W
    C4336	12/28/2016	3:00:00 PM	N WALNUT ST & E 17TH ST	LB213	F	W	21	9-18-2-7	EXPIRED LICENSE PLATES	24	M	W
    C4338	12/27/2016	9:15:00 PM	S HENDERSON ST & E ALLEN ST	LB314	M	W	23	9-21-8-41	TRAFFIC CONTROL DEVICE DIS	24	M	W
    C4298	12/10/2016	7:24:00 PM	S HIGHLAND AVE & E 3RD ST	LIU13	F	B	23	9-24-19-1	DRIVING WHILE SUSPENDED	24	M	W
    C4293	12/9/2016	10:57:00 PM	S COLLEGE MALL RD & E 2ND ST	LB305	M	W	48	9-24-19-1	DRIVING WHILE SUSPENDED	31	M	W
    C4293	12/9/2016	10:57:00 PM	S COLLEGE MALL RD & E 2ND ST	LB305	M	W	48	9-24-13-3	POSSESSION REQUIRED	31	M	W
    C4293	12/9/2016	10:57:00 PM	S COLLEGE MALL RD & E 2ND ST	LB305	M	W	48	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	31	M	W
    C4256	11/23/2016	2:18:00 PM	S COLLEGE MALL RD & E 3RD ST	LB305	F	W	19	9-24-19-1	DRIVING WHILE SUSPENDED	31	M	W
    C4304	12/14/2016	1:03:00 AM	S STATE ROAD 37 & W 3RD ST	LB403	M	W	28	9-21-3-7	DISREGARDING AUTOMATIC SIGNAL	35	M	W
    C4271	11/30/2016	1:17:00 AM	W 10TH ST & N ADAMS ST	LB521	F	W	23	9-24-19-1	DRIVING WHILE SUSPENDED	35	M	W
    C4264	11/28/2016	1:00:00 AM	N STATE ROAD 37 45 & N STATE ROAD 37	LB514	M	W	26	9-24-19-1	DRIVING WHILE SUSPENDED	35	M	W
    C4265	11/28/2016	1:00:00 AM	N STATE ROAD 37 45 & N STATE ROAD 37	LB514	M	W	26	9-21-5-6	EXCEEDING POSTED SPEED LIMIT	35	M	W
    C4266	11/28/2016	1:00:00 AM			M	W	26	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	35	M	W
    C4259	11/26/2016	12:21:00 AM	E NORTH DR & S WALNUT ST	LB421	F	W	27	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
