Citation Number	Date Issued	Time Issued	Location	District	Cited Person Age	Cited Person Sex	Cited Person Race	Offense Code	Offense Description	Officer Age	Officer Sex	Officer Race
    C2472	4/1/2016	12:00 AM			27	M	B	9-21-5-6	EXCEEDING POSTED SPEED LIMIT	35	M	W
    C2489	4/1/2016	6:03 PM	S WASHINGTON ST & E 3RD ST	LB104	25	M	W	9-21-8-23	UNSAFE START	29	F	W
    C2484	4/1/2016	11:29 PM	309 N WALNUT ST; TACO BELL NORTH	LB101	26	M	W	9-24-19-1	DRIVING WHILE SUSPENDED	30	M	B
    C2490	4/3/2016	10:54 PM	2000 S STATE ROAD 37	LB416	25	M	U	9-21-5-2	SPEED MAXIMUM	27	M	W
    C3046	4/6/2016	4:37 PM	W 2ND ST & S PATTERSON DR	LB406	27	M	W	9-24-19-1	DRIVING WHILE SUSPENDED	26	M	W
    C3046	4/6/2016	4:37 PM	W 2ND ST & S PATTERSON DR	LB406	27	M	W	9-18-2-27	FALSE REGISTRATION	26	M	W
    C3046	4/6/2016	4:37 PM	W 2ND ST & S PATTERSON DR	LB406	27	M	W	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	26	M	W
    C2510	4/7/2016	11:05 PM	S WEIMER RD & W TAPP RD	LB431	36	M	B	9-21-5-2(1)	EXCEEDING URBAN SPEED LIMIT	37	M	W
    C2508	4/7/2016	11:30 PM	E NORTH DR & S WALNUT ST	LB421	40	M	W	9-18-2-7	EXPIRED LICENSE PLATES	37	M	W
    C2507	4/7/2016	12:35 PM	E 3RD ST & S CLARK ST	LB222	20	M	A	9-18-2-7	EXPIRED LICENSE PLATES	39	F	W
    C2519	4/8/2016	7:28 PM	S GRANT ST & E 4TH ST	LB104	22	M	S	9-24-19-1	DRIVING WHILE SUSPENDED	26	M	W
    C2520	4/8/2016	7:28 PM	S GRANT ST & E 4TH ST	LB104	22	M	S	9-25-4-1	NO FINANCIAL RESPONSIBILITY	26	M	W
    C2511	4/8/2016	12:40 AM	1311 N WASHINGTON ST	LB212	21	M	W	14.09.030	NOISE VIOLATION	26	M	W
    C2529	4/8/2016	7:53 AM	1005 N ROGERS ST; APT B3	LB518	36	F	W	14.09.030	NOISE VIOLATION	51	F	W
    C2527	4/8/2016	11:50 PM	117 S UNION ST	LB222		F	W	14.09.030	NOISE VIOLATION	31	M	W
    C2518	4/8/2016	10:29 PM	W TAPP RD & S STATE ROAD 37	LMS22	46	M	W	9-19-6-3	NO OR IMPROPER HEADLIGHTS	35	M	W
